Tiempo (s) Serie Nº 1	Posición (m) Serie Nº 1
0.920	0.223
0.940	0.224
0.960	0.226
0.980	0.228
1.000	0.231
1.020	0.235
1.040	0.239
1.060	0.245
1.080	0.250
1.100	0.257
1.120	0.265
1.140	0.273
1.160	0.281
1.180	0.291
1.200	0.301
1.220	0.312
1.240	0.323
1.260	0.335
1.280	0.348
1.300	0.360
1.320	0.377
1.340	0.389
1.360	0.405
1.380	0.422
1.400	0.439
1.420	0.456
1.440	0.475
1.460	0.494
1.480	0.514
1.500	0.535
1.520	0.556
1.540	0.578
1.560	0.601
1.580	0.624
1.600	0.648
1.620	0.672
1.640	0.698
1.660	0.724
1.680	0.751
1.700	0.778
1.720	0.806
1.740	0.835
1.760	0.864
1.780	0.894
1.800	0.925
1.820	0.957
